Term,Group,Course,Age,Gender,Written_narrative_unfiltered
S22,PFG,SPA 2,18,Female,"El libro es sobre de un hombre se llama Gabriel. Su hermana, Lola, quiere Gabriel ser su chambelán en su quinceñera, pero Gabriel no sabe como bailar. Es muy nervioso, pero su amigo, Jake, y su novia, Irene ayudan a Gabriel. Ellos ayudan enseñar a Gabriel como bailar, y hay muchas problemas. Hay otras cosas, pero no son importantes."
S22,PFG,SPA 2,19,Male,"Gabriel and Irene are siblings and Irene is going to have a quinceanera, which is a girl's fifteen-year birthday party and is meant to symbolize the coming of age. Gabriel has been asked to be the one who dances with Irene but he has broken his ankle. He wants to dance but he keeps making mistakes that prevent him from dancing."
S22,PFG,SPA 2,18,Male,"En el libro, una chica tiene una quinceañera. Ella quiérelo ser perfecto porque la quinceañera es un evento importante en la vida de una chica. Su hermano tiene que ser un chambelán, pero no puede bailar. Él necesita tomar las clases de baile, pero se cae en su bicicleta y rota su tobillo. El médico lo dice que él debe descansar y tomar las pastillas para el duele. Él se cuida y puede ser en la quinceañera, pero su hermana está enojada. Su padre lo ofrece ayuda y lo hace sentirse mejor."
S22,PFG,SPA 2,23,Female,"Gabriel is a UC Davis student who has a girlfriend from Spain named Irene. They go to visit Gabriel's family in Stockton. At this party, Gabriel's sister Lola asks him to be her chambelán de honor and he feels very nervous about this because he doesn't know how to dance. Gabriel and Irene resolve with the help of their friend Jake to learn how to dance to prepare for Lola's quinceañera. Gabriel has a super busy schedule between school and volunteering in his viticulture professor's lab. He crashes on his bike and twists his ankle, making it so he can't practice dancing for a while. Just before the quince he is better. At the quince, he does okay, but feels he didn't do well because he steps on Lola's foot. In the end his father is proud of him, so he feels much better."
S22,PFG,SPA 2,23,Male,"Gabriel e Irene están enamorados. Una semana, Gabriel conduce su coche con Irene a la casa de su familia para un almuerzo. Alla, el padre de Gabriel le dice que Gabriel va a ser el chambalán en la quinceañera de su hermana, y necesita aprender un baile muy importante en la ceremonia. Gabriel no sabe como bailar, y por eso necesita aprender muy rápido. Cuándo estaba practicando su baile con Irene, su amigo Jake grabó un video de la pracitca. En la mañana, el video es muy popular en TikTok, y Gabriel es famoso. El próximo dia, Gabriel tiene un accidente en su bicicleta y se torce su tobillo. Gabriel necesita mejorar en tiempo para la quinceañera."
S22,PFG,SPA 2,18,Female,"It follows the character named Gabriel and some of his friends and family as he goes through the challenges of juggling school (at UC Davis), being terrible at dancing, and his sister's 15th birthday party. He is asked to be the chambelan de honor for his sister’s birthday. This causes him to try to practice dancing and, even with the help of friends (more specifically Jake and Irene), continues to look like a ""vulture"" while dancing and is continually teased for it. He gets a bad grade in one of his classes, which ends up getting him extra work from his professor who tasks him with multiple things to make up for his poor grade. Later, he gets hit by a girl on a bike with a dog while she rode around a roundabout, and she, for no real reason, gives him a flower. He ends up meeting up with a doctor to be informed that he needs a cast and may not be able to dance at his sister's birthday because his ankle was hurt, which really upsets him. At some point in the story, he forgets his girlfriend's birthday, gets videotaped while dancing poorly, and some other random things occur. His sister at the end gets her dress mixed up with a bride’s dress, and Irene, Gabriel’s girlfriend, ends up straightening it out with a bridesmaid. He does dance at the party, which his dad congratulates him on saying that he is proud of the way Gabriel handled the whole situation. "
S22,PFG,SPA 2,22,Male,"Gabirel es el invitado de honor de la quincenera de su hermana, sin embargo no sabe bailar, muy ocupado y es atropellado una bicicleta."
S22,PFG,SPA 2,20,Non-binary / third gender,Basicalmente un chico necesita ayudar su hermano con su quinceñera pero se rompió su pierna y no puede caminar. 
S22,PFG,SPA 2,18,Male,So we start with a brother that wants to be the main chambelan is his sisters quinceañera but he doesn't know how to dance. He starts to go to dancing lessons and learns to dance with his girlfriend. He really hits his rhythm and its become a hobby of his to go dancing. That is until he crashes with a girl on a roundabout and breaks his leg. He becomes depressed because he doesn't think that he'll be able to dance with his sister anymore. That is until he heals and slowly starts to dance again. Next thing you know he is dancing in his sisters quince and although he messes up and steps on her shoe he pulls it off. overall 3/10
S22,PFG,SPA 2,18,Female,"It's about a girl having her quince party and everyone trying to help plan it. One of the boys in her court gets into a bike accident and then he can't be in the quince dance. But, he gets better and gets his cast taken off, and can still dance in the quince. Also, they made TikTok famous out of the dance they learn for the quince."
S22,PFG,SPA 2,19,Female,"Lola ask her brother to be her chambalan, but her brother does not know how to dance. He makes an effort to learn how to dance for his sister with the help of his girlfriend. He ends up breaking his ankle because he gets in a bike accident. This stops him from practicing, but he still is able to dance with his sister at her party. He messes up a little, but his dad makes him feel better. "
S22,PFG,SPA 2,26,Male,"La hermana de Gabriel va a tener su quinceañera, y invita Gabriel a bailar con ella. Gabriel no sabe bailar, y entonces toma clases de su amigo Jake. El se rompió su pierna durante de trimestre y tuvo mucha estrés. "
S22,PFG,SPA 2,20,Female,"Gabriel tiene que prepararse para la quinceañera. Hizo un baile y se hizo famoso en tik tok. Llegó al campus pero le atropellaron en la rotonda, al lado de la oficina. Entonces, tiene que curarse el pie durante un tiempo. Eso afectó a su práctica del baile. También se olvidó del cumpleaños de su amiga, y ella se enfadó con él. Por fin, él y su amiga bailaron en la fiesta de quince años. Su amigo y él se vistieron muy guay."
S22,PFG,SPA 2,19,Female,"The book was about a brother being the chambelan of his sister for her quinceañera. One day he was riding his bike very fast on campus, that he crashed with another person and he hurt himself. He had to go to the hospital to see was wrong. When he went, the doctor said that he hurt his ankle and that he needed to be resting so he could get better soon. He had to stop practicing for the quinceañera. "
S22,PFG,SPA 2,25,Male,"Alguien es el chambelán de la quincenera de su hermana pero no sabe bailar. Pero al volver de las clases, se han torcido el tobillo. Sin embargo, se recuperaron y lograron participar."
S22,PFG,SPA 2,21,Male,"La historia sigue al personaje principal, Gabriel, que es estudiante de UC Davis. Aprendemos sobre él, su vida en Davis, sus amigos, y su familia. La trama principal de la historia sigue los problemas que ocurren mientras Gabriel se prepara para ser el chambelán en la quinceañera de su hermana menor. Él enfrenta problemas con la escuela, su relación con su novia y su familia, e incluso su salud física cuando se lastima el pie. Al final, Gabriel puede superar todos los problemas que enfrenta y puede ser el mejor chambelán que puede ser para enorgullecer a su padre y hacer feliz a su hermanita. "
S22,PFG,SPA 2,21,Female,"Gabriel está una persona importante en la quinceañera de su hermana. Él está aprendiendo bailar por la quinceañera cuando fue en el accidente, y rompe su tobillo. El está muy triste desde la accidente, y olvida muchas de los dactos importantes, incluyen la cumpleaños de la novia. En el fin, Gabriel baila con su hermana y todo son bien."
S22,PFG,SPA 2,20,Female,La hermana de Gabriel planea su quinceañera. Gabriel suponerse que bailar con su hermana pero no sabe bailar. Gabriel aprende a bailar de su amigo (Jake) y su novia (Irene). Él está muy ocupado y estresado porque no hay tiempo para hacer todo. Gabriel se rompe el tobillo pero curase. ¡La quinceañera es muy bueno! 
S22,PFG,SPA 2,20,Non-binary / third gender,"Gabriel tiene una hermana. Su hermana tiene un quinceañera pronto. Su hermana se llama Lola. Lola quiera a Gabriel, “por favor, va a mi chamberlain y nos bailamos en la quinceañera”. Gabriel es muy nerviosa porque su bailar no bueno. Con Irene y Jake, Gabriel aprende a bailando. Entonces, Gabriel se rompe el tobillo en el collision de bicicleta. El Doctor dije a Gabriel, no mudarse su tobillo. Gabriel está triste por que no bailar con Lola por su quinceañera. Entonces, Gabriel tienen mucha tarea. Entonces, el vestido de Lola no tienen, Irene va a la maneja consigue a vestido, pero tienen un vestido está blanco no Azul. Irene consigue el vestido proper, y monta su bicicleta a Lola. La quinceañera es muy bueno y a todos a la familia de Lola están feliz. "
S22,PFG,SPA 2,22,Male,"Gabriel es un chambelan por la quinceanera de Irene y practica mucho. Un dia, Gabriel tiene dolor de su tobillo. Gabriel descansa y practica bailando por la quinceanera y la fiesta es buena."
S22,PFG,SPA 2,25,Male,"Su hermana le pregunta a Gabriel si puede ser el chambelán de honor en su quinceañera. Está muy contento por ello, pero también preocupado porque tiene que practicar el baile. Así que practica con su novia Irene y un amigo llamado Jake. Jake los filma mientras bailan como buitres y el vídeo se hace muy famoso en el red. Un día Gabriel pasa con su bicicleta por una glorieta en Davis y tiene un accidente y se tuerce el tobillo. Como ya no puede bailar, está muy triste e incluso olvida el cumpleaños de Irene. Al final, puede seguir bailando en la quinceañera. Su padre está muy orgulloso de él porque no fue fácil."
S22,PFG,SPA 2,19,Male,"La hermana de Gabriel tiene un quincenanera en el futuro y quiere Gabriel bailar con ella. Gabriel no supiste bailar. A preparar, Gabriel tiene un clase de baile y baile en tiktok. Gabriel tuve un tebillo roto en un accidente de biscleta. El cura y puede ir a quinceanera."
S22,PFG,SPA 2,22,Female,"In this book, each chapter detailed the journey that three characters went through to prepare for Lola’s quinceañera. At first, they faced miniature fame because their tiktok dance had gone viral. They went to the MU at UC Davis and were told that people saw their dance. Next, they learned to dance for the celebration and got instruction from a friend, however, because of an injury from a bike and a roundabout, that had to be put on hold. Last, after a trip to the doctor, the preparation for the celebration was put on again. However, the dress was mixed up, and they had to quickly run to another event to get the right dress. In the end, the dance went by very well, and the birthday girl was grateful and happy. "
S22,PFG,SPA 2,20,Female,"En este libro, el protagonista Gabriel va a asistir al cumpleaños de dieciséis años de su hermana. Y el cumpleaños es especial porque ese día van a hacer una fiesta para celebrar el cumpleaños de esa joven y van a elegir a una persona para que baile con la cumpleañera. Por desgracia, Gabriel se rompió el tobillo debido al accidente. Se deprimió y se sintió culpable porque el médico le dijo que no podría bailar durante mucho tiempo. Pero al final, Gabriel consiguió bailar con su hermana con la ayuda de su amigo."
S22,PFG,SPA 2,31,Female,"El libro iba sobre un chico, Gabriel, de Davis que fue elegido para ser chambelán en la quinceañera de su novia, Irene. El libro empezaba con ellos siendo grandes bailarines y haciéndose viral en un vídeo de TikTok, pero más tarde Gabriel terminó sufriendo un accidente de bicicleta con otra estudiante, que llevaba un perro en la cesta. Todos estaban bien, pero Gabriel se ha roto el tobillo. También pasaron otras cosas, como que Gabriel se olvidó del cumpleaños de su novia, o que suspendió su examen y tuvo que trabajar en el laboratorio de su profesor, y tuvo que llevar una escayola por su tobillo roto. También hubo una parte en la que el vestido de quinceañera de Irene se confundió con el vestido equivocado, pero al final todo salió bien. Gabriel pudo bailar en la quinceañera, e Irene estaba contenta a pesar de que se equivocó en el baile final. Su padre seguía orgulloso de él y Gabriel grabó a Jake cantando para poner el vídeo en TikTok en un intento de hacerlo viral."
S22,PFG,SPA 2,19,Female,"En el libro, La Quinceañera, la hermana de Gabriel, Lola, va a tener una quinceañera y preguntó a su hermano si puede ser su chambelán de honor. Gabriel dijo sí que puede ser el chambelán de honor, pero estaba un poco nervioso porque no sabía cómo bailar. Irene, la novia de Gabriel, le dijo a Gabriel que lo ayudará a aprender a bailar con la ayuda de su amigo Jake. Estuvieron practicando durante unos días y Gabriel terminó chocando su bicicleta con la bicicleta de otra persona. Gabriel se puso bien triste porque no podía ser el chambelán de honor. Llegó el día, y el vestido de Lola se mezcló con el vestido de una novia. Sintió que toda su fiesta estaba arruinada, pero Irene se fue a conseguir el vestido correcto. Gabriel también fue capaz de ser el chambelán de honor y bailó con Lola.
"
S22,PFG,SPA 2,21,Male,Miguel is going to Dance for his sisters Quincinera. He practices often with his girlfriend and later a dance teacher. Unfortunutately he injures his leg in a bicycle accident and can no longer dance.
S22,PFG,SPA 2,19,Female,"Gabriel quise ser el chambelán de honor para Lola, su hermana, en su quinceañera. Pero, Gabriel no supo bailar. Con la ayuda para Irene, su esposa, y Jake, su amigo, Gabriel aprendó bailar. Mientras salió su clase de biología, Gabriel cayó y giró su tobillo. Después del accidente, Gabriel no quiso bailar con su hermana, pero su familia y Irene motivaron Gabriel bailar en la quinceañera."
S22,PFG,SPA 2,20,Male,"The main character’s sister has a quincinera.  He doesn’t know how to dance.  He takes dancing lessons so that he wouldn’t make a fool of himself during the quincinera.  He gets injured from a bike accident and breaks his ankle, causing him to put a pause to his dance lessons.  When he recovers, he’s able to dance again."
S22,PFG,SPA 2,20,Male,"A guy named Gabriel is asked by his little sister to be the chamberlain of honor at her quineñera. Gabriel says yes but is nervous because he doesn't know how to dance. His girlfriend, Irene, helps him learn to dance. While practicing, Gabriel's friend, Jake, videotapes him without him knowing and posts the dance to Tik Tok, which becomes popular. One day, Gabriel crashes his bike and tears his ankle, so he can no longer dance. However, he heals in time for the quinceñera but messus up during his dance with his sister. His father makes him feel better afterwards however."
S22,PFG,SPA 2,19,Female,The main character has a boyfriend and she meets his family. She recognizes that their cultures are different and she is interested to learn more about his. His sister is having a quinceanera soon and she asks the main characters boyfried (her brother) to be the main chambelan. He gladly accepts because it is honorable but he doesn't know how to dance. The main character and him put lots of effort into teaching him how to dance but then he gets in an accident while biking and twists his ankle. He then worries that he wont be able to be the main chambelan for his sister but he recovers just in time.
S22,PFG,SPA 2,18,Female,"El libro es sobre un hombre se llama Gabriel, el novio de Irene y un estudiante de UC Davis. Gabriel tiene una hermana se llama Lola y Lola va a tener una quinceañera. Lola quiere que Gabriel es su chambelán de honor, pero hay un problema: Gabriel no puede bailar. Gabriel aprende a bailar pero hay un accidente cuando Gabriel está en su bicicleta. Gabriel tiene un tobillo torcido y no puede bailar. Luego, Gabriel es mejor y no tiene una escayola más. Él puede ser el chambelán de honor para Lola. Durante la quinceañera, Gabriel y Lola bailan juntos y Gabriel hace un error, pero su amigo Jake organiza un flashmob y todo es bien. "
S22,PFG,SPA 2,18,Female,"The book starts with Gabriel and Irene, who are dating, visiting Gabriel’s family. There Gabriel’s sister, Lola, asked him to be the Chambelán de Honor for her quinceañera. Gabriel agrees but the problem for him is that he doesn’t know how to dance. So he asks Irene for some help, and she mentions her friend Jake, who could help teach him. And so they do, Gabriel spends a lot of time practicing. His grades start slipping and his teacher tells him that he could help the teacher. So he also starts doing that. One afternoon Gabriel is rushing to go somewhere on campus and he gets in an accident. His ankle gets sprained and so he has to wear a cast. He becomes upset about the whole thing because he could no longer dance and practice for the quinceañera. Eventually he gets better and is able to dance in the quince. "
S22,PFG,SPA 2,19,Male,"The story is about a quinceañera that will be for the Gabriel's sister Lola. Gabriel is a student at UC Davis with his girlfriend Irene and the story is told mostly from his perspective. Gabriel finds out about the Quinceañera when he goes back home to Stockton from Davis to see family. Gabriel spends a lot of his time stressing out about the quinceañera because he will be the chamberlain of honor. He practices dancing with Irene and ends up going viral on Tiktok. Gabriel gets injured after crashing into someone on campus and can not practice for a while due to the injury. He recovers and eventually is able to continue practicing with the help of Jake. Eventually, the story ends with the quinceañera"
S22,PFG,SPA 2,19,Female,"En La Quinceañera, Gabriel quiere ayudar a su hermana, Lola, con su quinceañera. Lola quiere que Gabriel está su chambelan de honor. Esto lo hace muy nervioso. La novia de Gabriel se llama Irene y viene de España. Ella ayuda su novio a practicar como bailar para la quinceañera porque Gabriel no quiere avergonzarse o su hermana. Su amigo de la universidad en Davis se llama Jake y él recuerda Gabriel y Irene. El video se vuelve viral. Gabriel está enfadado con Jake. Entonces, se enorgullece del video porque a la gente le gusta. Luego, Gabriel se rompa la pierna. No puede bailar más. Está muy triste. Baila por Irene como un buitre y ella recuerda la baile y toma en TikTok. The video goes viral, and people do the dance. Then, his leg heals, and he can dance again. Lola asks if Gabriel can help her get ready for the quinceañera. She needs someone to pick up her dress at the dressmaker. Gabriel asks his girlfriend Irene if she can drive to the shop to pick up the dress. When she gets there, the dressmaker gives her a white dress instead of a blue dress. The woman realizes that she gave Lola’s dress to a bridesmaid at a wedding. Irene then drives over to the church where the wedding is taking place and she exchanges the dress for the right one. When she arrives at the quinceañera, Lola is super glad to have the dress. Gabriel messes up the dance a little bit, but Jake has people do a flashmob where they dance Gabriel’s eagle dance. His dad is proud of him. "
S22,PFG,SPA 2,18,Female,"Gabriel's sister has a quinceañera, and she asks him to be her chambelán de honor. He is very scared because he does not know how to dance well, so his girlfriend helps him. While he is practicing for the dance with Irene, Jake takes a video of them dancing and puts it on Tiktok. He also becomes very stressed balancing all these things in his life and ends up failing a class and forgetting Irene's birthday. Irene is understanding and forgives him because he is very sorry about what he did. His sister Lola is also very stressed because she is a perfectionist and she want everything to go right for her party. Then, Gabriel breaks his ankle while he is riding his bike on his way to class at a roundabout. His father and stepmother come to take care of him while he is injured. This also means he will not be able to be the chambelán de honor because of his injury. His brother offers to be the chambelán de honor instead of him, but Gabriel is upset about this. Lola requests Irene to pick up the dress, but notices that the dress is not the right one. She ends up having to take the dress to a church to switch it for Lola's correct dress. He finally gets his cast off and is able to dance with his sister at her quinceañera. During the dance he stumbles, but there are distractions planned which reduce the embarrassment. Gabriel's father, Enrique is very proud of him nevertheless. "
S22,PFG,SPA 2,21,Female,"En La quinceañera, la main principal es sobre ayudar a la familia. El personaje se rompe el tobillo para acidente de bicicleta. La abuela ayuda mucho por de familia para la quinceñera. Al final, ellas terminan haciendo la quinceñera para ayudar de familia. "
S22,PFG,SPA 2,22,Male,‎‏‏‎ ‎
S22,PFG,SPA 2,19,Female,"la quinceañera es un libro por español 2, y el libro es “about” un chico, un estudiante de UC Davis, y su novia, learning a bailar por la quinceañera de su hermana porque èl es el champlan de honor. Bailando es muy difícil por el chico, porque èl es muy nervioso. La quinceañera fue muy bien porque el chico fue practicar para bailar. "
